AlbumID,Title,ReleaseDate,ArtistID
1,Revolutionary Sounds,8/12/65,1
2,,5/10/70,2
3,Thrill Seeker,11/30/82,3
4,Opera Nights,,4
5,Classical Dreams,6/23/75,5
6,Space Oddity,6/16/72,6
7,Heart Songs,1/24/10,7
8,Purple Skies,6/25/84,8
9,Rolling Beats,4/23/71,9
10,Prayer Songs,3/21/89,10
11,,7/1/73,11
12,Teen Spirit,9/24/91,12
13,Shades of Lemon,,13
14,Electric Currents,7/25/80,14
15,Pinball Rhythms,5/23/69,15
16,Soulful Tunes,,16
17,Gospel Harmony,3/10/67,17
18,,11/21/73,18
19,Rock Legends,11/8/71,19
20,Coldplay Hits,,20
21,Dark Magic,3/1/73,21
22,24K Gold,11/18/16,22
23,Swift Beats,,23
24,California Dreams,12/8/76,24
25,Joshua’s Tree,3/9/87,25
26,Good Girl Bad,,26
27,Soul Keys,9/28/76,27
28,Metal Symphony,3/3/86,28
29,Golden Path,10/5/73,29
30,Dropout’s Anthem,,30
31,Rap Legend,5/23/00,31
32,Beach Tunes,5/16/66,32
33,Blueprint Beats,,33
34,Global Sounds,11/21/14,34
35,Highway Melodies,8/30/65,35
36,Back in Style,,36
37,Door’s Open,1/4/67,37
38,Control Tracks,2/4/86,38
39,Teenage Fantasies,,39
40,Band Beats,12/5/73,40
41,Whitney's Hits,2/14/85,41
42,Californian Life,6/8/99,42
43,Take Note,,43
44,As I Am,11/9/07,44
45,Justin's World,11/13/15,45
46,Wee Small Hours,,46
47,Blue Sky,7/17/20,47
48,Fame and Glory,3/22/11,48
49,Punk Rock,2/1/94,49
50,All Night,,50
51,Hybrid Beats,10/24/00,51
52,Jane’s Diary,6/25/02,52
53,Sunrise,,53
54,London Calling,12/14/79,54
55,Rebirth,10/9/15,55
56,Origins,11/9/18,56
57,Millennium,,57
58,Golden Days,5/18/17,58
59,Heavenly Songs,,59
60,Peace and Love,8/14/85,60
61,Future Sounds,9/18/09,61
62,Living the Dream,,62
63,Night Beats,12/20/14,63
64,Timeless Tunes,1/23/88,64
65,Old Classics,,65
66,Festival Hits,6/10/13,66
67,Golden Voice,3/12/81,67
68,Dreams of Tomorrow,,68
69,Yesterday’s Hits,11/2/98,69
70,Future Rhythms,7/15/11,70
71,Chill Vibes,,71
72,City Lights,5/22/04,72
73,Midnight Echoes,9/8/17,73
74,Back to Basics,,74
75,Rhythm and Soul,3/16/02,75
76,The Journey,10/21/90,76
77,New Beginnings,,77
78,Golden Beats,1/11/16,78
79,Rolling Waves,8/19/99,79
80,Electric Dreams,,80
81,Classical Symphonies,4/28/87,81
82,Back to the Future,6/7/19,82
83,Silver Lining,,83
84,Deep Thoughts,11/5/12,84
85,The Classics,2/18/00,85
86,Lost in Time,,86
87,Golden Era,12/20/93,87
88,Whispers in the Dark,1/9/21,88
89,Blue Waves,,89
90,Echoes of the Past,7/14/15,90
91,Funky Beats,5/11/83,91
92,Silent Nights,,92
93,Shining Stars,8/3/10,93
94,Back to the Roots,10/12/16,94
95,Golden Memories,,95
96,Lost Dreams,3/19/14,96
97,Timeless Beauty,11/28/08,97
98,Forgotten Tunes,,98
99,Silver Dreams,1/30/13,99
100,City Life,12/15/18,100