TrackID,Title,Duration,AlbumID
1,Intro,3,1
2,,4,2
3,Thrill Seeker Theme,4.54,3
4,Opera Prelude,,4
5,Dreamscape,5.32,5
6,Space Odyssey,4.25,6
7,Heart Beat,4.01,7
8,Purple Rain,5.55,8
9,Rolling Stones,3.5,9
10,Pray with Me,5.41,10
11,,4.33,11
12,Teen Spirit Anthem,5.01,12
13,Lemon Fresh,,13
14,Electric Shocks,4.15,14
15,Pinball Wizard,5,15
16,Soul Groove,,16
17,Gospel Truth,2.29,17
18,Silent Echo,4.44,18
19,Legendary Rock,8.02,19
20,Coldplay Melody,,20
21,Dark Side Theme,6.22,21
22,24K Magic,3.45,22
23,Swift Hit,,23
24,California Love,5.12,24
25,Joshua Tree Theme,4.44,25
26,Good Girl Gone Bad,3.55,26
27,Soul Keys Anthem,4.33,27
28,Metal Symphony,5.1,28
29,Golden Pathway,4.25,29
30,Dropout's Delight,,30
31,Rap Legend Anthem,3.54,31
32,Beach Boys Melody,2.45,32
33,Blueprint Beats,,33
34,Global Groove,5.18,34
35,Highway Revisited,6.45,35
36,Back to Black,,36
37,Door's Open,5.33,37
38,Control Freak,3.22,38
39,Teenage Dream,4.18,39
40,Band on the Run,,40
41,Whitney's Song,5.22,41
42,Californian Groove,4.55,42
43,Take Care,5.01,43
44,As I Am,3.28,44
45,Justin's Jam,4.2,45
46,Wee Hours Melody,,46
47,Blue Sky Theme,4.33,47
48,Fame Anthem,4.1,48
49,Punk Rock Anthem,3.52,49
50,All Night Long,,50
51,Hybrid Theory Theme,4.55,51
52,Jane's Diary,3.15,52
53,Sunrise Melody,,53
54,London Calling Theme,4.22,54
55,Rebirth Melody,4.55,55
56,Origins Theme,5.15,56
57,Millennium Melody,,57
58,Golden Day,4.33,58
59,Heavenly Song,5.12,59
60,Peace and Love Melody,,60
61,Future Beats,3.45,61
62,Living the Dream Theme,4.55,62
63,Night Beats Melody,,63
64,Timeless Tunes,5.22,64
65,Old Classics Theme,4.33,65
66,Festival Hits,4.45,66
67,Golden Voice Anthem,,67
68,Dreams of Tomorrow,4.55,68
69,Yesterday's Hits,5.12,69
70,Future Rhythms Melody,,70
71,Chill Vibes Theme,4.33,71
72,City Lights Melody,5.15,72
73,Midnight Echoes,5.22,73
74,Back to Basics Theme,,74
75,Rhythm and Soul,4.33,75
76,The Journey Melody,5.15,76
77,New Beginnings Theme,,77
78,Golden Beats,4.55,78
79,Rolling Waves Melody,5.12,79
80,Electric Dreams Theme,,80
81,Classical Symphony,4.33,81
82,Back to the Future Melody,5.15,82
83,Silver Lining Theme,,83
84,Deep Thoughts Melody,5.22,84
85,The Classics Theme,4.33,85
86,Lost in Time Melody,,86
87,Golden Era,4.55,87
88,Whispers in the Dark,5.12,88
89,Blue Waves Melody,,89
90,Echoes of the Past,4.33,90
91,Funky Beats Anthem,3.45,91
92,Silent Nights Melody,,92
93,Shining Stars,4.55,93
94,Back to the Roots Theme,5.12,94
95,Golden Memories Melody,,95
96,Lost Dreams,4.33,96
97,Timeless Beauty,5.15,97
98,Forgotten Tunes Theme,,98
99,Silver Dreams,4.33,99
100,City Life,5.15,100